id	pronunciation	character	tone	rhymeCategory	meanings
1	일	一	入	質	한 번;만약;처음;첫째;같다;오로지;어느;어떤;혹은;모두;온통;조금;몸;신체
2	정	丁	平	靑	넷째 천간;당하다;만나다;씩씩하다;젊은 남자 일꾼;간곡하다;정방(丁方);정시(丁時)
3	정	丁	平	庚	벌목 소리
4	칠	七	入	質	일곱;일곱 번
5	기	?	平	支	대(臺);그(that)
6	만	万	去	願	일만(一萬)
7	묵	万	入	職	성(姓)
8	삼	三	平	覃	셋;세 번;끝
9	삼	三	去	勘	거듭;자주;여러 번
10	상	上	去	?	위;꼭대기;겉;표면;하늘;임금;손위;옛날;무겁다;높이다;숭상하다;첫째;부근;음력 10월
11	상	上	上	養	오르다;올라가다;바라건대;더하다
12	장	丈	上	養	길이의 단위;어른;지팡이;재다;측량하다
13	하	下	上	馬	아래;아랫사람;신하;뒤;끝;하급;천한 사람;임금이나 귀인의 거처;내리다;내려가다;없애다;제거하다;덜다;못하다;낮추다
14	개	?	去	泰	빌다;사정하다;비럭질;걸인;잡다;취하다;주다
15	면	?	上	銑	가리다;숨기다;토담
16	불	不	入	月	아니다;없다;못하다;마라(금지)
17	부	不	上	有	아니다;마라(금지)
18	부	不	平	尤	새 이름;아닌가(의문);성(姓)
19	부	不	平	虞	크다;꽃자루
20	축	丑	上	有	소(牛);수갑(手匣)
21	구	丘	平	尤	언덕;동산;무덤마을;크다;손윗사람;비다;공허하다;폐허;공자(孔子)
22	병	丙	上	梗	남녘;밝음;환함;굳세다;강하다
23	비	丕	平	支	크다;으뜸;처음;받다;받들다;이에;곧;엄숙하다;장중하다
24	세	世	去	霽	대(代);한 세대;세상;세상 사람;인간;때;시대;한평생;맏
25	차	且	上	馬	또;또한;거듭하여;막상;비록;가령;대저;잠깐;우선;장차;이에
26	저	且	平	魚	도마;많은 모양;음력 6월;머뭇거리다
27	저	且	上	語	삼가다
28	승	丞	平	蒸	돕다;돕는 사람;잇다;잠기다;가라앉다;받들다;이어받다;관직 이름
29	증	丞	上	?	나아가다;구제하다
30	주	?	平	尤	가다;떠나다;던져버리다;잃다;잃어버리다
31	곤	?	上	阮	뚫다
32	개	?	去	箇	낱;개(수의 단위);곁방
33	아	?	平	麻	가장귀;두 가닥;가장귀지게 묶은 머리;여자 아이
34	봉	?	平	冬	예쁘다;아름답다;풍만하다;풀이 무성한 모양;풍채
35	풍	?	平	東	예쁘다;아름답다;풍만하다;풀이 무성한 모양;풍채
36	중	中	平	東	가운데;중심;안;속;사이;마음;정신;치우치지 아니하다;중기(中氣);절반;곧다;바르다;버금;중국
37	중	中	去	送	맞다;마땅하다;알맞다;걸리다;헐뜯다;떨어지다;급제하다;합격하다
38	관	?	去	諫	쌍상투;어리다
39	광	?	上	梗	광석
40	관	串	去	諫	익히다;길들다;친압하다;무람없다
41	천	串	去	霰	꿰다(穿);어음;문권
42	곶	串	入	曷	곶
43	찬	?	上	?	꼬챙이
44	주	?	上	?	점(點)
45	환	丸	平	寒	알;탄환;환(알약 단위);약;환약;둥글다;곧다;꼿꼿하다;오로지;방울;구르다;굴리다
46	단	丹	平	寒	붉다;붉은빛;붉게 칠하다;단사(丹砂);정성;정련한 약물
47	주	主	上	?	주인;남편;임금;공경대부;우두머리;장(長);주체;위패;천성;본성;숭상하다;존중하다;근본;공주(公主);주로;오로지;무리
48	별	?	入	屑	삐침(획)
49	불	?	入	物	파임(획)
50	내	乃	上	賄	이에;곧;바꾸어 말하면;바로;너(you);접때;전번에;이(this);그(that)
51	애	乃	上	賄	뱃노래
52	예	乂	去	隊	베다;풀을 베다;다스리다;다스려지다;어질다;어진 이
53	애	乂	去	泰	징계하다
54	구	久	上	有	오래다;변하지 아니하다;오래 기다리다;늦다;멈추다;머무르다;막다;덮다
55	탁	?	入	陌	부탁하다
56	지	之	平	支	가다;이(이것);~에;~이(가);~의;이르다;및;~와(과);쓰다
57	사	乍	去	?	잠깐;언뜻;갑자기
58	작	乍	入	藥	짓다
59	핍	乏	入	洽	가난하다;모자라다;없다;버리다;폐하다;고달프다;쇠하다;화살막이
60	호	乎	平	虞	~인가;~로다;~구나;~에;~보다;아!(감탄사)
61	괴	乖	平	佳	어그러지다;어기다;배반하다;떨어지다;나뉘다;교활하다;간사하다
62	승	乘	平	蒸	타다;오르다;업신여기다;다스리다;헤아리다;꾀하다;곱다;곱셈
63	승	乘	去	徑	대(수레 단위);탈것;둘 한 쌍;넷 한 쌍;네 필의 말;역사;역사의 기록;제도의 방편
64	을	乙	入	質	새;제비;굽다(曲);구부러지다;10干의 둘째;을방(乙方);을시(乙時);둘째;하나;아무개;표하다;물고기의 창자;범의 가슴 양쪽에 있는 뼈
65	구	九	上	有	아홉;아홉 번;수효의 끝;수효가 많다;주역의 양수(陽數);남쪽;오래되다;늙다
66	규	九	平	尤	모으다;모이다;합하다
67	걸	乞	入	物	빌다(구걸);빌어먹다;구하다;소원;요청
68	기	乞	去	未	주다
69	야	也	上	馬	어조사
70	야	也	去	?	또;또한
71	이	也	上	紙	잇달다
72	이	?	平	支	종족 이름
73	계	?	平	齊	점치다;생각하다
74	유	乳	上	?	젖;젖퉁이;젖을 먹이다;기르다;양육하다;낳다;알을 까다;새끼를 치다;약을 갈다;젖 같은 액;유방 모양의 것
75	건	乾	平	先	하늘;괘 이름;임금;남자;지아비;서북방;굳세다;튼튼하다
76	건	乾	平	寒	마르다;말리다;시들다;모자라다;다하다;생기가 끊어지다;건성으로;까닭없이
77	간	乾	平	寒	마르다;말리다;시들다;모자라다;다하다;생기가 끊어지다;건성으로;까닭없이
78	란	亂	去	翰	어지럽다;다스리다;반역;무도(無道);함부로;멋대로;난리;전쟁;음악의 끝;건너다
79	궐	?	入	月	갈고리
80	료	了	上	篠	마치다;끝나다;깨닫다;이해하다;밝다;총명하다;드디어;마침내;얼크러지다
81	여	予	平	魚	나
82	여	予	上	語	주다;허락하다;용서하다;함께;함께하다;음악 이름
83	사	事	去	?	일;사업;업무;사건;사고;일삼다;전념하다;정치;제사;찌르다;꽂다;섬기다;다스리다;경영하다;부리다
84	이	二	去	?	둘;두 번;두 마음;갑절;의심하다;다음;둘째;나란하다;비견하다;땅의 수(數);건(乾)과 곤(坤);이단(異端);음효(陰爻)
85	우	于	平	虞	~에;~에서;~보다;~구나;~와(과);가다;하다;행하다;굽다(曲);돌다;돕다;크다;광대하다;비슷하다;닮다;이(이것);구하다;가지다
86	우	于	平	魚	아!(감탄사)
87	촉	?	入	沃	자축거리다;멈춰 서다;잠시 멈추다
88	오	五	上	?	다섯;다섯 번;별 이름;제위(帝位);다섯 번 하다;여러 번 하다;다섯 곱절;오행(五行)
89	운	云	平	文	이르다(曰);말하다;친하다;벗하다;돌아가다;구름;성하다;행동하다
90	정	井	上	梗	우물;구덩이;정자(井字) 모양;천장;일리사방(一里四方)의 땅;마을;동네;별 이름;괘 이름
91	호	互	去	遇	서로;함께;갈마들다;고르지 아니하다;뒤섞이다;어긋나다;고기시렁;울짱;목책;갑각류의 총칭;노끈 감는 얼레;짝(雙)
92	긍	亘	去	徑	걸치다;뻗치다;잇닿다;극하다
93	선	亘	平	先	펴다;널리 말하다;찾다;구하다;돌아다니다
94	사	些	平	麻	적다;조금;약간
95	사	些	去	箇	어조사
96	아	亞	去	?	버금;흉하다;동서(同壻);나아가다;벼;아시아
97	아	亞	平	麻	아귀(사물의 갈라진 곳)
98	악	亞	入	藥	회칠하다
99	압	亞	入	洽	누르다
100	극	?	入	職	빠르다;삼가다;공경하다;사랑하다;가엾이 여기다;심하다
101	기	?	去	?	자주;여러 번
102	망	亡	平	陽	망하다;망하여 없어지다;달아나다;도망치다;죽다;잃다;없애다;없어지다;업신여기다;경멸하다;잊다
103	무	亡	平	虞	없다;가난하다
104	항	亢	平	陽	목;목줄기;목구멍
105	항	亢	去	?	오르다;올리다;높아지다;자부하다;자만하다;별 이름;용마루;마룻대;가뭄;높다;극하다;겨루다;필적하다;가리다;덮다
106	교	交	平	肴	사귀다;벗하다;친하게 지내다;엇갈리다;맞다;조화하다;뒤섞이다;흘레하다;주고받다;서로;동아리;벗;어름(맞닿은 곳);옷깃
107	역	亦	入	陌	또;또한;모두;크다;다만;단지;만약;가령;쉽다;이미;다스리다
108	해	亥	上	賄	돼지;음력 10월;간직하다;단단하다
109	형	亨	平	庚	형통하다;제사;제사를 올리다
110	향	亨	上	養	드리다;올리다
111	팽	亨	平	庚	삶다
112	경	京	平	庚	서울;수도;크다;성하다;높다;돈대;높은 언덕;창고;곳집;경(수의 단위);고래(鯨)
113	향	享	上	養	누리다;받다;응하다;드리다;올리다;바치다;제사 지내다;대접하다;잔치하다
114	량	亮	去	?	밝다;명석하다;진실로;참으로;정말로;돕다
115	량	亮	平	陽	천자(天子)의 상중(喪中)
116	정	亭	平	靑	정자;역참;여인숙;머무르다;평정하다;고르다;빼어나다;높이 솟다;이르다(至);미치다;곧다;바르다;망루;구별하다;기르다;양육하다
117	박	?	入	藥	땅 이름;주(州) 이름;엷다
118	단	亶	上	旱	믿음;믿다;진실로;참으로;도탑다;다만;단지;풍족하다;웃통을 벗다
119	선	亶	去	霰	오로지하다;마음대로 하다;머무적거리다
120	선	亶	平	先	날다;날아오르다
121	미	?	上	尾	힘쓰다;부지런하다;문채가 있는 모양
122	문	?	平	元	물문;수문(水門)
